,Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Touches,FantPt/Touch
28,29,Joe Burrow,CIN,QB,25,16,16,366,520,4611,34,14,40,118,2.95,2,0,0,0,,0,5,2,2,,1,314,314.2,336.2,328.2,46,8,29,40.0,0.0
30,30,Diontae Johnson,PIT,WR,25,16,14,0,0,0,0,0,5,53,10.60,0,169,107,1161,10.85,8,2,2,8,1,,167,274.4,279.4,220.9,46,12,30,112.0,1.4910714285714286
31,31,Jalen Hurts,PHI,QB,23,15,15,265,432,3144,16,9,139,784,5.64,10,1,0,0,,0,9,2,10,,3,312,312.2,329.2,321.2,44,9,31,139.0,0.0
32,32,Alvin Kamara,NOR,RB,26,13,10,0,0,0,0,0,240,898,3.74,4,67,47,439,9.34,5,0,0,9,,,188,234.7,240.7,211.2,42,9,32,287.0,0.6550522648083623
33,33,Antonio Gibson,WAS,RB,23,16,14,0,0,0,0,0,258,1037,4.02,7,52,42,294,7.00,3,6,4,10,1,,187,229.1,239.1,208.1,41,10,33,300.0,0.6233333333333333
34,34,Leonard Fournette,TAM,RB,26,14,13,0,1,0,0,0,180,812,4.51,8,84,69,454,6.58,2,1,0,10,,,187,255.6,261.6,221.1,41,11,34,249.0,0.751004016064257
35,35,Dalton Schultz,DAL,TE,25,17,15,0,0,0,0,0,0,0,,0,104,78,808,10.36,8,0,0,8,1,,131,208.8,211.8,169.8,39,3,35,78.0,1.6794871794871795
36,36,Cordarrelle Patterson,ATL,RB,30,16,13,0,1,0,0,0,153,618,4.04,6,69,52,548,10.54,5,2,0,11,,,183,234.6,240.6,208.6,37,12,36,205.0,0.8926829268292683
37,37,George Kittle,SFO,TE,28,14,14,0,0,0,0,0,3,20,6.67,0,94,71,910,12.82,6,2,1,6,,,127,198.0,202.0,162.5,35,4,37,74.0,1.7162162162162162
38,38,Hunter Renfrow,LVR,WR,26,17,9,0,0,0,0,0,3,3,1.00,0,128,103,1038,10.08,9,5,1,9,,,156,259.1,263.1,207.6,35,13,38,106.0,1.471698113207547
