,Player,Team,AVG,POS
243,Nick Folk,NE,240.7,K14
244,Boston Scott,PHI,240.0,RB74
245,Jerick McKinnon,KC,258.7,RB75
246,Jacoby Brissett,CLE,226.5,QB34
247,Tyquan Thornton,NE,224.5,WR86
248,Terrace Marshall Jr.,CAR,244.0,WR87
249,Kendrick Bourne,NE,244.7,WR88
250,Desmond Ridder,ATL,226.0,QB35
251,Kyle Rudolph,TB,227.0,TE28
252,Keaontay Ingram,ARI,248.0,RB76
253,Samaje Perine,CIN,248.0,RB77
254,Kyren Williams,LAR,231.0,RB78
255,Baltimore Ravens,DST,232.0,DST13
256,Jonnu Smith,NE,232.5,TE29
257,William Fuller V,,249.3,WR89
258,Tennessee Titans,DST,234.5,DST14
259,Pittsburgh Steelers,DST,235.5,DST15
260,Chris Evans,CIN,265.0,RB79
261,Matt Breida,NYG,252.0,RB80
262,Trey Sermon,SF,252.3,RB81
263,Brevin Jordan,HOU,252.7,TE30
264,Ameer Abdullah,LV,199.0,RB82
265,Atlanta Falcons,DST,204.0,DST16
266,Minnesota Vikings,DST,243.5,DST17
267,A.J. Green,ARI,256.7,WR90
268,Drew Lock,SEA,269.0,QB36
269,Las Vegas Raiders,DST,208.0,DST18
270,Green Bay Packers,DST,246.5,DST19
271,Ke'Shawn Vaughn,TB,258.7,RB83
272,Laviska Shenault Jr.,JAC,261.3,WR91
273,Byron Pringle,CHI,269.3,WR92
274,Robbie Gould,SF,270.5,K15
275,Greg Joseph,MIN,253.0,K16
276,Cade York,CLE,224.0,K17
277,C.J. Uzomah,NYJ,254.0,TE31
278,Trey McBride,ARI,254.0,TE32
279,Tyler Badie,BAL,255.0,RB84
280,Damien Williams,ATL,255.0,RB85
281,Isaiah Likely,BAL,290.5,TE33
282,Zay Jones,JAC,281.0,WR93
283,Joey Slye,WAS,232.0,K18
284,Cedrick Wilson Jr.,MIA,258.0,WR94
285,Cleveland Browns,DST,261.5,DST20
286,Marquez Callaway,NO,261.5,WR95
287,Devin Duvernay,BAL,244.0,WR96
288,Randall Cobb,GB,277.0,WR97
289,Cincinnati Bengals,DST,247.0,DST21
290,Mo Alie-Cox,IND,288.5,TE34
291,Seattle Seahawks,DST,248.0,DST22
292,John Metchie,III,309.0,WR98
293,Velus Jones Jr.,CHI,266.5,WR99
294,Bryan Edwards,ATL,299.0,WR100
295,Adam Trautman,NO,267.5,TE35
296,Philadelphia Eagles,DST,278.5,DST23
297,Greg Dulcich,DEN,282.5,TE36
298,Detroit Lions,DST,254.0,DST24
299,Daniel Bellinger,NYG,254.0,TE37
300,Sterling Shepard,NYG,268.5,WR101
301,Pierre Strong Jr.,NE,255.0,RB86
302,Olamide Zaccheaus,ATL,257.0,WR102
303,Nick Westbrook-Ikhine,TEN,304.0,WR103
304,Amari Rodgers,GB,272.5,WR104
305,Jake Elliott,PHI,302.5,K19
306,New York Jets,DST,262.0,DST25
307,Carolina Panthers,DST,263.0,DST26
308,Jason Sanders,MIA,273.5,K20
309,Jalen Guyton,LAC,265.0,WR105
310,Arizona Cardinals,DST,274.5,DST27
311,Zack Moss,BUF,283.0,RB87
312,New York Giants,DST,271.0,DST28
313,Jelani Woods,IND,271.0,TE38
314,Justyn Ross,KC,272.0,WR106
315,Chicago Bears,DST,310.0,DST29
316,Cairo Santos,CHI,275.0,K21
317,James Washington,DAL,276.0,WR107
318,Tony Poljan,BAL,277.0,TE39
319,Jaylen Warren,PIT,317.5,RB88
320,Vernon Davis,,278.0,TE40
321,Peyton Barber,,279.0,RB89
322,Wayne Gallman Jr.,,310.5,RB90
323,Joel Stave,,281.0,QB37
324,Duke Johnson Jr.,BUF,284.0,RB91
325,David Johnson,,286.0,RB92
326,Chris Boswell,PIT,291.0,K22
327,Malik Willis,TEN,292.0,QB38
328,Antonio Brown,,294.0,WR108
329,Cam Sims,WAS,295.0,WR109
330,Jaelon Darden,TB,297.0,WR110
331,Geno Smith,SEA,298.0,QB39
332,N'Keal Harry,CHI,299.0,WR111
333,Graham Gano,NYG,300.0,K23
334,Jody Fortson,KC,301.0,WR112
335,Khalil Shakir,BUF,302.0,WR113
336,Jake Kumerow,BUF,304.0,WR114
337,Emmanuel Sanders,,306.0,WR115
338,Jake Funk,LAR,307.0,RB93
339,Marquise Goodwin,SEA,309.0,WR116
340,Cole Beasley,,311.0,WR117
341,Devontae Booker,,313.0,RB94
342,Tyler Conklin,NYJ,314.0,TE41
343,Jaret Patterson,WAS,316.0,RB95
344,Nelson Agholor,NE,317.0,WR118
345,Devonta Freeman,,318.0,RB96
346,T.Y. Hilton,,320.0,WR119
347,Zach Pascal,PHI,321.0,WR120
348,Kai Forbath,LAR,322.0,K24
349,Greg Zuerlein,NYJ,323.0,K25
350,Jordan Howard,,325.0,RB97
351,Latavius Murray,,326.0,RB98
352,Washington Commanders,DST,327.0,DST30
353,Michael Badgley,,328.0,K26
354,Mason Crosby,GB,329.0,K27
355,Tre'Quan Smith,NO,334.0,WR121
356,Rex Burkhead,HOU,336.0,RB99
357,Quez Watkins,PHI,337.0,WR122
358,Giovani Bernard,TB,338.0,RB100
359,Dan Arnold,JAC,339.0,TE42
360,Kalif Raymond,DET,340.0,WR123
361,Brandon Bolden,LV,342.0,RB101
362,Jared Cook,,343.0,TE43
363,Randy Bullock,TEN,344.0,K28
364,Braxton Berrios,NYJ,346.0,WR124
365,Tevin Coleman,NYJ,349.0,RB102
366,Breshad Perriman,TB,350.0,WR125
367,Ty Johnson,NYJ,352.0,RB103
368,Sam Darnold,CAR,353.0,QB40
369,Deonte Harty,NO,355.0,WR126
370,Roberto Aguayo,,356.0,K29
371,Lirim Hajrullahu,,357.0,K30
372,Dyami Brown,WAS,359.0,WR127
373,Kene Nwangwu,MIN,360.0,RB104
374,Blaine Gabbert,TB,361.0,QB41
375,Dee Eskridge,SEA,362.0,WR128
376,Tyrod Taylor,NYG,363.0,QB42
377,Zane Gonzalez,CAR,364.0,K31
378,Jason Myers,SEA,365.0,K32
379,Jordan Love,GB,366.0,QB43
380,Pharaoh Brown,HOU,368.0,TE44
381,Jonathan Garibay,,373.0,K33
